Incident Number,Date of Incident,Application,Severity,Owner,Caused by Change,Incident Description,Timeline
INC1850017,21 Sep 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850018,29 Nov 2024,IT0- Italy Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on IT0- Italy Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on IT0- Italy Website.'}","2:02 PM ET: Outage detected at IT0- Italy Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850019,13 Feb 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850020,21 Feb 2024,IT0- Italy Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on IT0- Italy Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on IT0- Italy Website.'}","2:02 PM ET: Outage detected at IT0- Italy Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850021,30 May 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850022,20 May 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850023,26 Jan 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850024,07 Nov 2024,IT0- Italy Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on IT0- Italy Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on IT0- Italy Website.'}","2:02 PM ET: Outage detected at IT0- Italy Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850025,14 Mar 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850026,29 Apr 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850027,18 Mar 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850028,16 Nov 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850029,19 Oct 2024,IT0- Italy Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on IT0- Italy Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on IT0- Italy Website.'}","2:02 PM ET: Outage detected at IT0- Italy Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850030,30 Sep 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850031,24 Jul 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850032,26 Mar 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850033,20 Mar 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850034,24 Mar 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850035,24 Sep 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850036,12 Jul 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850037,05 Apr 2024,GAS- Global Portal,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GAS- Global Portal.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GAS- Global Portal.'}","2:02 PM ET: Outage detected at GAS- Global Portal, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850038,02 Jan 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850039,06 Jul 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850040,13 Apr 2024,IT0- Italy Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on IT0- Italy Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on IT0- Italy Website.'}","2:02 PM ET: Outage detected at IT0- Italy Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850041,20 Sep 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850042,20 Feb 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850043,19 Jun 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850044,09 Sep 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850045,05 Mar 2024,CAW- Canada Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on CAW- Canada Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on CAW- Canada Website.'}","2:02 PM ET: Outage detected at CAW- Canada Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850046,23 May 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850047,11 May 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850048,06 Nov 2024,DAC-INTERNATIONAL DATA ANALYTICS,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on DAC-INTERNATIONAL DATA ANALYTICS.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on DAC-INTERNATIONAL DATA ANALYTICS.'}","2:02 PM ET: Outage detected at DAC-INTERNATIONAL DATA ANALYTICS, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850049,15 Jul 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850050,21 Apr 2024,GAS- Global Portal,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GAS- Global Portal.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GAS- Global Portal.'}","2:02 PM ET: Outage detected at GAS- Global Portal, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850051,11 Dec 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850052,31 Aug 2024,MX0- Mexico Website,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on MX0- Mexico Website.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on MX0- Mexico Website.'}","2:02 PM ET: Outage detected at MX0- Mexico Website, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850053,22 Apr 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850054,06 Dec 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
INC1850055,27 Nov 2024,GWE- UK Institutional,2,CTO and AWS vendor,AWS regional issue,"{'summary': 'AWS regional issue impacted services like Kinesis, Lambda, affecting operations including log ingestion into splunk, impacting troubleshooting efforts. High impact on GWE- UK Institutional.', 'resolution': 'Manually recreated terminated webservers after AWS Lambda failure.', 'client_impact': 'Service was down or partially available. High impact on GWE- UK Institutional.'}","2:02 PM ET: Outage detected at GWE- UK Institutional, alerts received.
2:05 PM ET: Issue reported to MIM channel.
2:20 PM ET: Troubleshooting with CTO started.
2:45 PM ET: Issue with Lambda and Kinesis identified as cause.
3:00 PM ET: Permission granted to manually recreate webservers.
3:18 PM ET: Service restored, post-checks initiated."
